month,taxi_trips
2022-12,192935
2023-01,212798
2023-02,189659
2023-03,208091
2023-04,218564
2023-05,209450
2023-06,209284
2023-07,204971
2023-08,221375
2023-09,211829
2023-10,212373
2023-11,188370
2023-12,178855
2024-01,219687
2024-02,290231
2024-03,317683
2024-04,304343
2024-05,338585
